time[s],timer[ticks=0.15625ms],frameNumber[int],angle_pitch[rad],angle_roll[rad],angle_yaw[rad],latitude_best_estimate[deg],longitude_best_estimate[deg],height[m],flight_time[s]
1310127306.9189999104,5806166,2644,0.11903145498601327978,0.034382986264288289968,1.7875662198925923452,55.237504500000000007,-6.4276948999999996559,-2.366000000000000103,0
1310127307.118999958,5807446,2645,0.11501719770642630791,0.035255650890285455956,1.7727309212506403568,55.237504500000000007,-6.4276948999999996559,-2.3229999999999999538,0
1310127307.3190000057,5808726,2646,0.11571532940722405181,0.035779249665883749998,1.7722073224750423126,55.237504500000000007,-6.4276948999999996559,-2.3330000000000001847,0
1310127307.5190000534,5810006,2647,0.11623892818282234585,0.035953782591083185971,1.7699383944474496033,55.237504500000000007,-6.4276948999999996559,-2.3090000000000001634,0
1310127307.7190001011,5811286,2648,0.11763519158441781975,0.03543018381548488499,1.7790141065578202184,55.237504500000000007,-6.4276948999999996559,-2.3410000000000001918,0
1310127307.9189999104,5812566,2649,0.11309733552923255384,0.036128315516282615005,1.7737781188018371115,55.237504500000000007,-6.4276948999999996559,-2.366000000000000103,0
1310127308.118999958,5813846,2650,0.11344640137963141191,0.035779249665883749998,1.769414795671851115,55.237504500000000007,-6.4276948999999996559,-2.3250000000000001776,0
1310127308.3190000057,5815126,2651,0.11274826967883368189,0.034906585039886590949,1.7613862811126774766,55.237504500000000007,-6.4276948999999996559,-2.375,0
1310127308.5190000534,5816406,2652,0.11536626355682517986,0.03351032163829112398,1.7756979809790307545,55.237504500000000007,-6.4276948999999996559,-2.3940000000000001279,0
1310127308.7190001011,5817686,2653,0.11938052083641213785,0.033859387488689988988,1.7821556992114098161,55.237504500000000007,-6.4276948999999996559,-2.3050000000000001599,0
1310127308.9189999104,5818966,2654,0.11868238913561440784,0.034033920413889424961,1.7877407528177917673,55.237504500000000007,-6.4276948999999996559,-2.3060000000000000497,0
1310127309.118999958,5820246,2655,0.11728612573401893393,0.030019663134302466967,1.7784905077822219521,55.237504500000000007,-6.4276948999999996559,-2.3509999999999999787,0
1310127309.3190000057,5821527,2656,0.11763519158441781975,0.034382986264288289968,1.7776178431562246196,55.237504500000000007,-6.4276948999999996559,-2.2869999999999999218,0
1310127309.5190000534,5822806,2657,0.11519173063162574389,0.034033920413889424961,1.7655750713174636068,55.237504500000000007,-6.4276948999999996559,-2.3039999999999998259,0
1310127309.7190001011,5824086,2658,0.11554079648202461583,0.034732052114687154976,1.7697638615222501812,55.237504500000000007,-6.4276948999999996559,-2.2999999999999998224,0
1310127309.9189999104,5825366,2659,0.1158898623324234739,0.035779249665883749998,1.767669466419856894,55.237504500000000007,-6.4276948999999996559,-2.2290000000000000924,0
1310127310.118999958,5826647,2660,0.11379546723003028386,0.032637657012293964931,1.7725563883254411568,55.237504500000000007,-6.4276948999999996559,-2.2970000000000001528,0
1310127310.3190000057,5827927,2661,0.11728612573401893393,0.034557519189487725941,1.7743017175774353777,55.237504500000000007,-6.4276948999999996559,-2.3159999999999998366,0
1310127310.5190000534,5829207,2662,0.11292280260403311787,0.032986722862692823,1.7615608140378768987,55.237504500000000007,-6.4276948999999996559,-2.3380000000000000782,0
1310127310.7190001011,5830487,2663,0.11187560505283652978,0.033161255787892258973,1.7578956226086885906,55.237504500000000007,-6.4276948999999996559,-2.3100000000000000533,0
1310127310.9189999104,5831767,2664,0.11030480872604163378,0.03159045946109736297,1.7564993592070932138,55.237504500000000007,-6.4276948999999996559,-2.2549999999999998934,0
1310127311.118999958,5833047,2665,0.11205013797803595188,0.033335788713091694946,1.7561502933566943696,55.237504500000000007,-6.4276948999999996559,-2.2959999999999998188,0
1310127311.3190000057,5834327,2666,0.11519173063162574389,0.032637657012293964931,1.7758725139042301766,55.237504500000000007,-6.4276948999999996559,-2.1920000000000001705,0
1310127311.5190000534,5835607,2667,0.11885692206081382993,0.03159045946109736297,1.7737781188018371115,55.237504500000000007,-6.4276948999999996559,-2.2109999999999998543,0
1310127311.7190001011,5836887,2668,0.12164944886400476387,0.032986722862692823,1.7907078125461819429,55.237504500000000007,-6.4276948999999996559,-2.2109999999999998543,0
1310127311.9189999104,5838167,2669,0.12007865253720986787,0.032288591161895099924,1.7790141065578202184,55.237504500000000007,-6.4276948999999996559,-2.2480000000000002203,0
1310127312.118999958,5839447,2670,0.12042771838760873981,0.030717794835100200451,1.7793631724082190626,55.237504500000000007,-6.4276948999999996559,-2.1779999999999999361,0
1310127312.3190000057,5840727,2671,0.12182398178920421372,0.032637657012293964931,1.7891370162193873661,55.237504500000000007,-6.4276948999999996559,-2.1840000000000001634,0
1310127312.5190000534,5842007,2672,0.12060225131280817579,0.033335788713091694946,1.7856463577153984801,55.237504500000000007,-6.4276948999999996559,-2.1690000000000000391,0
1310127312.7190001011,5843287,2673,0.11850785621041497186,0.03211405823669566395,1.774650783427834444,55.237504500000000007,-6.4276948999999996559,-2.1899999999999999467,0
1310127312.9189999104,5844567,2674,0.11449359893082801387,0.03211405823669566395,1.7659241371678626731,55.237504500000000007,-6.4276948999999996559,-2.1499999999999999112,0
1310127313.118999958,5845847,2675,0.11309733552923255384,0.03351032163829112398,1.7652260054670649847,55.237504500000000007,-6.4276948999999996559,-2.1440000000000001279,0
1310127313.3190000057,5847127,2676,0.11047934165124105588,0.031241393610698497962,1.7620844128134749429,55.237504500000000007,-6.4276948999999996559,-2.0859999999999998543,0
1310127313.5190000534,5848407,2677,0.10576695267085636787,0.031241393610698497962,1.746201916620326644,55.237504500000000007,-6.4276948999999996559,-2.1410000000000000142,0
1310127313.7190001011,5849687,2678,0.10122909661567110196,0.030019663134302466967,1.7303194204271783452,55.237504500000000007,-6.4276948999999996559,-2.1030000000000002025,0
1310127313.9189999104,5850967,2679,0.10192722831646884585,0.032812189937493393965,1.728225025324785058,55.237504500000000007,-6.4276948999999996559,-2.1490000000000000213,0
1310127314.118999958,5852247,2680,0.10227629416686771779,0.031415926535897933936,1.7404423300887452708,55.237504500000000007,-6.4276948999999996559,-2.1219999999999998863,0
1310127314.3190000057,5853527,2681,0.10227629416686771779,0.029146998508305300979,1.7359044740335600743,55.237504500000000007,-6.4276948999999996559,-2.1549999999999998046,0
1310127314.5190000534,5854807,2682,0.10890854532444615987,0.030543261909900767948,1.7453292519943295336,55.237504500000000007,-6.4276948999999996559,-2.116000000000000103,0
1310127314.7190001011,5856087,2683,0.10995574287564276184,0.034033920413889424961,1.7613862811126774766,55.237504500000000007,-6.4276948999999996559,-2.0529999999999999361,0
1310127314.9189999104,5857367,2684,0.11379546723003028386,0.034208453339088860934,1.7624334786638740091,55.237504500000000007,-6.4276948999999996559,-2.1049999999999999822,0
1310127315.118999958,5858647,2685,0.11554079648202461583,0.032637657012293964931,1.7683675981206545824,55.237504500000000007,-6.4276948999999996559,-2.1200000000000001066,0
1310127315.3190000057,5859927,2686,0.11362093430483084788,0.031415926535897933936,1.769414795671851115,55.237504500000000007,-6.4276948999999996559,-2.1379999999999999005,0
1310127315.5190000534,5861207,2687,0.11449359893082801387,0.031764992386296798943,1.7749998492782330661,55.237504500000000007,-6.4276948999999996559,-2.0550000000000001599,0
1310127315.7190001011,5862487,2688,0.11292280260403311787,0.030543261909900767948,1.7608626823370789882,55.237504500000000007,-6.4276948999999996559,-2.0280000000000000249,0
1310127315.9189999104,5863767,2689,0.11170107212763709381,0.032288591161895099924,1.7641788079158682301,55.237504500000000007,-6.4276948999999996559,-2.0409999999999999254,0
1310127316.118999958,5865047,2690,0.11658799403322120392,0.032288591161895099924,1.7732545200262386231,55.237504500000000007,-6.4276948999999996559,-2.061999999999999833,0
1310127316.3190000057,5866327,2691,0.11815879036001609992,0.033335788713091694946,1.7788395736326205743,55.237504500000000007,-6.4276948999999996559,-2.0939999999999998614,0
1310127316.5190000534,5867607,2692,0.11885692206081382993,0.032986722862692823,1.7769197114554269312,55.237504500000000007,-6.4276948999999996559,-2.0649999999999999467,0
1310127316.7190001011,5868887,2693,0.11554079648202461583,0.033335788713091694946,1.7704619932230478696,55.237504500000000007,-6.4276948999999996559,-2.0179999999999997939,0
1310127316.9189999104,5870167,2694,0.11205013797803595188,0.032463124087094528958,1.7619098798882757428,55.237504500000000007,-6.4276948999999996559,-1.9590000000000000746,0
1310127317.118999958,5871447,2695,0.11013027580084218393,0.032637657012293964931,1.7598154847858824557,55.237504500000000007,-6.4276948999999996559,-1.9230000000000000426,0
1310127317.3190000057,5872727,2696,0.11397000015522971983,0.030368728984701331974,1.7603390835614807219,55.237504500000000007,-6.4276948999999996559,-2.0510000000000001563,0
1310127317.5190000534,5874007,2697,0.11449359893082801387,0.030892327760299632955,1.771160124923845558,55.237504500000000007,-6.4276948999999996559,-1.9579999999999999627,0
1310127317.7190001011,5875287,2698,0.11344640137963141191,0.03211405823669566395,1.7744762505026347998,55.237504500000000007,-6.4276948999999996559,-1.9759999999999999787,0
1310127317.9189999104,5876567,2699,0.11222467090323538785,0.034033920413889424961,1.7704619932230478696,55.237504500000000007,-6.4276948999999996559,-1.9390000000000000568,0
1310127318.118999958,5877847,2700,0.10943214410004445392,0.03211405823669566395,1.7624334786638740091,55.237504500000000007,-6.4276948999999996559,-1.8939999999999999059,0
1310127318.3190000057,5879127,2701,0.11327186845443198981,0.034382986264288289968,1.7633061432898711196,55.237504500000000007,-6.4276948999999996559,-1.8959999999999999076,0
1310127318.5190000534,5880407,2702,0.11536626355682517986,0.03211405823669566395,1.769414795671851115,55.237504500000000007,-6.4276948999999996559,-1.9870000000000000995,0
1310127318.7190001011,5881687,2703,0.11239920382843482383,0.03211405823669566395,1.771160124923845558,55.237504500000000007,-6.4276948999999996559,-1.9399999999999999467,0
1310127318.9189999104,5882967,2704,0.10524335389525807383,0.031939525311496227977,1.7531832336283039719,55.237504500000000007,-6.4276948999999996559,-1.9350000000000000533,0
1310127319.118999958,5884247,2705,0.098262036887280745923,0.028623399732707003468,1.7270032948483891033,55.237504500000000007,-6.4276948999999996559,-1.9150000000000000355,0
1310127319.3190000057,5885527,2706,0.091280719879303445774,0.024260076602721176997,1.712167996206437115,55.237504500000000007,-6.4276948999999996559,-1.8720000000000001084,0
1310127319.5190000534,5886807,2707,0.093200582056497199845,0.023736477827122882955,1.7158331876356254231,55.237504500000000007,-6.4276948999999996559,-1.9430000000000000604,0
1310127319.7190001011,5888087,2708,0.095818575934488697809,0.025132741228718342985,1.7020450865448699673,55.237504500000000007,-6.4276948999999996559,-1.9270000000000000462,0
1310127319.9189999104,5889367,2709,0.10157816246606998778,0.028623399732707003468,1.7170549181120213778,55.237504500000000007,-6.4276948999999996559,-1.8939999999999999059,0
1310127320.118999958,5890647,2710,0.10262536001726657586,0.029321531433504733483,1.739046066687149894,55.237504500000000007,-6.4276948999999996559,-1.9139999999999999236,0
1310127320.3190000057,5891927,2711,0.099483767363676783857,0.029496064358704169456,1.7273523606987879475,55.237504500000000007,-6.4276948999999996559,-1.893000000000000016,0
1310127320.5190000534,5893207,2712,0.09965830028887621983,0.028099800957108705957,1.733635546005967587,55.237504500000000007,-6.4276948999999996559,-1.8720000000000001084,0
1310127320.7190001011,5894487,2713,0.10105456369047167986,0.031241393610698497962,1.7402677971635458487,55.237504500000000007,-6.4276948999999996559,-1.8369999999999999662,0
1310127320.9189999104,5895767,2714,0.095120444233690967795,0.027401669256310975942,1.7402677971635458487,55.237504500000000007,-6.4276948999999996559,-0.097000000000000002887,0
1310127321.118999958,5897047,2715,0.096516707635286427824,0.029670597283903601959,1.7310175521279760336,55.237504500000000007,-6.4276948999999996559,0.18199999999999999512,0
1310127321.3190000057,5898327,2716,0.098436569812480181896,0.030194196059501899471,1.7107717328048417382,55.237504500000000007,-6.4276948999999996559,0.27000000000000001776,0
1310127321.5190000534,5899607,2717,0.10088003076527224389,0.028623399732707003468,1.7397441983879478045,55.237504500000000007,-6.4276948999999996559,0.20300000000000001377,0
1310127321.7190001011,5900888,2718,0.099134701513277911911,0.029670597283903601959,1.7373007374351556731,55.237504500000000007,-6.4276948999999996559,0.26900000000000001688,0
1310127321.9189999104,5902168,2719,0.10262536001726657586,0.030194196059501899471,1.7345082106319646975,55.237504500000000007,-6.4276948999999996559,0.2670000000000000151,0
1310127322.118999958,5903448,2720,0.10367255756846317782,0.030717794835100200451,1.7399187313131470045,55.237504500000000007,-6.4276948999999996559,0.22500000000000000555,0
1310127322.3190000057,5904728,2721,0.10454522219446034381,0.031939525311496227977,1.7428857910415374022,55.237504500000000007,-6.4276948999999996559,0.38200000000000000622,0
1310127322.5190000534,5906008,2722,0.10506882097005862398,0.033161255787892258973,1.7455037849195289557,55.237504500000000007,-6.4276948999999996559,0.19000000000000000222,0
1310127322.7190001011,5907288,2723,0.10140362954087053793,0.034033920413889424961,1.7355554081831612301,55.237504500000000007,-6.4276948999999996559,0.40100000000000002309,0
1310127322.9189999104,5908568,2724,0.10279989294246599796,0.032812189937493393965,1.7385224679115516278,55.237504500000000007,-6.4276948999999996559,0.48099999999999998312,0
1310127323.118999958,5909848,2725,0.10245082709206713989,0.032288591161895099924,1.7509143056007112627,55.237504500000000007,-6.4276948999999996559,0.41699999999999998179,0
1310127323.3190000057,5911128,2726,0.10018189906447451387,0.031241393610698497962,1.7448056532187312673,55.237504500000000007,-6.4276948999999996559,0.26300000000000001155,0
1310127323.5190000534,5912408,2727,0.10035643198967394984,0.032463124087094528958,1.747947245872321087,55.237504500000000007,-6.4276948999999996559,0.19000000000000000222,0
1310127323.7190001011,5913688,2728,0.092502450355699455953,0.032637657012293964931,1.7449801861439306894,55.237504500000000007,-6.4276948999999996559,0.089999999999999996669,0
1310127323.9189999104,5914968,2729,0.0856956662729215779,0.031066860685499065459,1.7379988691359533615,55.237504500000000007,-6.4276948999999996559,0.115000000000000005,0
1310127324.118999958,5916248,2730,0.077841684638947097885,0.028623399732707003468,1.7256070314467937266,55.237504500000000007,-6.4276948999999996559,0.16800000000000001044,0
1310127324.3190000057,5917528,2731,0.064926248174189057916,0.016057029118347831975,1.7263051631475911929,55.237504500000000007,-6.4276948999999996559,0.17899999999999999245,0
1310127324.5190000534,5918808,2732,0.049392817831439526921,0.0052359877559829881219,1.7277014265491867917,55.237504500000000007,-6.4276948999999996559,0.097000000000000002887,0
1310127324.7190001011,5920088,2733,0.03351032163829112398,0.0095993108859688137252,1.7186257144388161766,55.237504500000000007,-6.4276948999999996559,0.042999999999999996558,0
1310127324.9189999104,5921368,2734,0.0092502450355699469831,0.033161255787892258973,1.7140878583836309801,55.237504500000000007,-6.4276948999999996559,0.028000000000000000583,0
1310127325.118999958,5922648,2735,-0.0040142572795869579938,0.024609142453120045474,1.7172294510372207998,55.237504500000000007,-6.4276948999999996559,-0.10299999999999999434,0
1310127325.3190000057,5923928,2736,-0.01919862177193762745,-0.019024088846738191477,1.7135642596080329358,55.237504500000000007,-6.4276948999999996559,0.22700000000000000733,0
1310127325.5190000534,5925208,2737,-0.0075049157835756167417,-0.060737457969402663949,1.7039649487220638324,55.237504500000000007,-6.4276948999999996559,0.66600000000000003642,0
1310127325.7190001011,5926488,2738,0.037175513067479216966,-0.1055924197456569319,1.6964600329384882382,55.237504500000000007,-6.4276948999999996559,1.161000000000000032,0
1310127325.9189999104,5927768,2739,0.053058009260627619907,-0.053581608036225913949,1.6725490221861658569,55.237504500000000007,-6.4276948999999996559,1.5920000000000000817,0
1310127326.118999958,5929048,2740,0.0085521133347722152335,-0.010122909661567111236,1.6716763575601687464,55.237504500000000007,-6.4276948999999996559,2.0329999999999999183,0
1310127326.3190000057,5930328,2741,-0.0052359877559829881219,0.025830872929516076469,1.6863371232769213126,55.237504500000000007,-6.4276948999999996559,2.061999999999999833,0
1310127326.5190000534,5931608,2742,-0.015707963267948966968,0.037524578917878081974,1.6858135245013230463,55.237504500000000007,-6.4276948999999996559,2.2829999999999999183,0
1310127326.7190001011,5932888,2743,-0.016929693744344994494,-0.0085521133347722152335,1.6863371232769213126,55.237504500000000007,-6.4276948999999996559,2.6089999999999999858,0
